Codenametop,Codenameright,Codenamebottom,Codenameleft
Chariot,Limb,Napkin,Perfume
Charm,Tame,Flour,Sail
Chef,Square,Salt,Cotton
Cheese,Illness,Column,Cloud
Chest,Pit,Paintbrush,Nightmare
Chick,Fountain,Ice,Walk
Child,Shirt,Tail,Menu
Chimney,Clean,Story,Jar
Chocolate,Office,Pair,Protect
Church,Table,Mushroom,Truck
Cigarette,Stick,Country,Secret
Cinema,Cup,Jump,Dream
Circle,Sock,Door,Cow
Circus,Ladder,Pilot,Skate
Claw,Mud,Grenade,Trash
Climbing,Pond,Firefighter,Sheep
Clown,Feline,Garage,Tobacco
Club,Loop,Stylist,Pyramid
Coffee,Puzzle,Cougar,Stone
Comedy,Pocket,Suite,Missile
Commerce,Trophy,Shovel,End
Computer,Demon,Revolver,Jelly
Cookie,Craft,Shell,Flea
Couch,Farm,Helmet,Strength
Crab,Passion,Field,Flute
Crane,District,Lazy,Stocks
Cross,Hot,Dwarf,Science
Crown,Dance,Prison,Matter
Crow,Hand,River,Radio
Cuddle,New,Violin,Fairy
Cushion,Necklace,Oil,Vampire
Day,Shield,Inspection,History
Dead,Radar,Reptile,Major
Delivery,Song,Station,Throat
Desert,Paper,Virus,Honey
Detective,Town,Sky,Spice
Devil,Mint,Recent,Layer
Diet,Explosion,Top,Show
Dirty,Medal,Wave,Fair
Display,Octopus,Right,Forest
Dog,Ramp,Television,Lemon
Donkey,Virgin,Mug,Park
Down,Guide,Love,Memory
Dragon,Europe,Repair,Victory
Dresser,Suitcase,Judge,Herbs
Drink,Horse,Polar,Short
Drum,Fire,Sister,Hotel
Dynamite,Pliers,Slide,Snail
Earth,Mouse,Yellow,Toilet
Elastic,Triangle,Weather,Order
Emergency,Metal,Lighthouse,Hero
Engine,Letter,Safari,Sewer
Entry,Round,Sand,Oven
Essence,Joke,Hospital,Roast
Fault,France,Physical,Rabbit
Feather,Pan,Orange,Tiny
File,Magnet,Tennis,Shop
Finger,Note,Hard,Kitchen
Flask,Marriage,Target,Leak
Foam,Handle,Talent,Vegetable
Foot,Winter,Island,High
Forecast,Screw,Tomato,Grey
Frame,Weight,Pumpkin,Jungle
Fry,Ruler,Mail,Revolution
Fuel,Luck,Roll,Hook
Gamble,Mask,Sugar,Port
Garden,Spear,Ink,Stitches
Ghost,Storm,Pad,Soldier
Glass,Turn,Hobbies,Series
Glasses,Syrup,King,Place
Gold,Melon,Lake,Sound
Grain,Shed,Turtle,Statue
Grape,Shower,Utensil,Middle
Guardian,Moist,Sunday,Wolf
Guitar,Thermometer,Lock,Schedule
Hair,Tool,Hall,Heroine
Handicap,Lion,Rich,Star
Hardware,Ticket,Witness,Sausage
Hat,Large,Pine,Spicy
Hearing,Ladle,Hearth,Stage
Heavy,Tea,Room,Life
Heel,Revenge,Watch,Motor
Hell,Track,Milk,Taste
Hole,March,Wood,Skeleton
Hood,Pear,Lamp,House
Human,Window,Uniform,Whip
Instrument,Limit,Pirate,Intersection
Ireland,Medusa,Lighter,Shelter
Ladybug,Restaurant,Painting,Speaker
Mass,Photo,Orchard,Performance
Match,Mother,Rope,Paradise
Mobile,Oak,Raft,Suspect
Moustache,Surgeon,Silver,Pizza
Oar,Thief,Theatre,Smell
Palace,Wing,Snow,Scissors
Pig,Sage,Trade,Rail
Promotion,Thunder,Straw,Religion
Shelf,Tornado,Spider,Transport
Species,Temple,Suit,Summer
